,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
1638,165.015,172.349,205.352,227.354,264.024,311.695,330.03,311.695,308.028,319.029,330.03,363.033,326.363,359.366,355.699,366.7,366.7,385.035,396.036,..,..,..
1639,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1640,3773.343,4063.036,5056.793,4902.779,5408.825,5797.527,6952.632,7506.349,7763.039,8536.776,10161.257,10245.598,11008.334,10659.969,11965.421,11642.725,11741.734,12313.786,11763.736,..,..,..
1641,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1642,..,..,22152.347,17495.257,17359.578,16204.473,15731.43,15339.061,16197.139,13692.578,12200.109,12918.841,13212.201,12915.174,13325.878,14000.606,14293.966,15137.376,15130.042,..,..,..
1643,9893.566,10630.633,11804.073,10821.317,10219.929,8349.759,8437.767,7917.053,7356.002,7686.032,8236.082,8580.78,9424.19,9919.235,11067.006,11327.363,11312.695,10843.319,10502.288,..,..,..
1644,..,..,14051.944,12068.097,11268.691,9636.876,9548.868,8437.767,7990.393,6743.613,6171.561,6853.623,6651.938,7088.311,7132.315,7176.319,7590.69,7928.054,7590.69,..,..,..
1645,1034.094,1092.766,1085.432,1188.108,1283.45,1243.113,1415.462,1499.803,1565.809,1532.806,1635.482,1686.82,1525.472,1536.473,1727.157,1837.167,1631.815,1558.475,1334.788,..,..,..
1646,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1647,23542.14,24975.937,26039.367,28217.565,29640.361,30373.761,31195.169,31862.563,32038.579,33153.347,33905.082,37715.095,38254.144,37561.081,40590.023,42823.226,43992.999,46281.207,47905.688,..,..,..
1648,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1649,..,..,20971.573,15628.754,12090.099,11191.684,11521.714,7099.312,6270.57,4503.076,3512.986,3714.671,3986.029,4290.39,4554.414,4895.445,4994.454,4686.426,4774.434,..,..,..
1650,986.423,1074.431,1045.095,1070.764,1316.453,1312.786,1411.795,1701.488,1738.158,1925.175,1873.837,1741.825,1235.779,1756.493,1936.176,1705.155,1697.821,1804.164,1910.507,..,..,..
1651,154.014,172.349,253.023,216.353,220.02,275.025,319.029,366.7,333.697,465.709,498.712,575.719,689.396,597.721,751.735,678.395,869.079,898.415,920.417,..,..,..
1652,325603.931,336586.596,342629.812,341441.704,362424.278,345178.377,354877.592,361595.536,372167.497,380814.283,383021.817,393604.779,390781.189,402068.215,405709.546,432665.663,441653.48,449860.226,475833.587,..,..,..
1653,47.671,51.338,55.005,62.339,66.006,66.006,66.006,66.006,69.673,66.006,77.007,80.674,84.341,84.341,88.008,84.341,91.675,99.009,99.009,..,..,..
1654,..,..,10777.313,10340.94,10469.285,10839.652,11741.734,10634.3,12625.481,11723.399,12064.43,11998.424,10934.994,11309.028,11191.684,11246.689,10909.325,11327.363,11815.074,..,..,..
1655,421.705,436.373,443.707,454.708,462.042,469.376,487.711,524.381,517.047,539.049,542.716,546.383,553.717,539.049,564.718,568.385,568.385,579.386,594.054,..,..,..
1656,2178.198,2200.2,2258.872,2669.576,2658.575,2695.245,2966.603,3241.628,2145.195,2346.88,2064.521,2486.226,2299.209,2581.568,2574.234,2698.912,2574.234,2724.581,2559.566,..,..,..
1657,4275.722,4180.38,4888.111,5342.819,6244.901,6959.966,7256.993,7499.015,8078.401,8830.136,8888.808,7348.668,8173.743,9611.207,11470.376,14543.322,13028.851,13047.186,12775.828,..,..,..
1658,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2057.187,2471.558,1965.512,1950.844,..,..,..
1659,10043.913,12207.443,11078.007,9314.18,7961.057,7924.387,8041.731,7711.701,7708.034,7554.02,7506.349,7884.05,8287.42,8034.397,8551.444,8808.134,9442.525,10560.96,10894.657,..,..,..
1660,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
